RRmean,SDNN,RMSSD,NNxx,pNNxx,Mean_HR,Min_HR,Max_HR,vlf,lf,hf,total_power,lf_norm,hf_norm,ratio
0.987412244080024,0.1641593585591422,0.1025121170151926,0.0,0.0,60.764893649766556,34.09090909090909,260.8695652173913,9.967944936424768e-06,6.38553821603227e-05,0.00016337763671896003,0.05976267636022105,0.0010684826391547924,0.002733773764317334,0.39084530442906246
0.5271997413921721,2.222625204929981,3.135646749520835,2.0,0.0033154849725643616,113.80885704070812,0.11108231199318695,285.7142857142857,1.5400231680090204e-05,5.6965345722523195e-05,0.0001177444285732668,0.015531646760772674,0.003667695164584677,0.0075809365476072164,0.4838050208641197
0.9418410456730768,4.445673653536429,6.279420687563413,2.0,0.006009615384615385,63.705017184849524,0.07394535438311088,285.7142857142857,3.024689050990701e-05,7.93274971252348e-05,0.00026706680578664536,0.19802185312510576,0.000400599710957747,0.0013486733992834545,0.2970324106418828
0.9531740952868526,0.13357405779995368,0.10942736057210063,0.0,0.0,62.947577254439885,7.389162561576355,285.7142857142857,9.182289558885769e-05,0.00034514962371592456,0.0004068924397908988,0.11393559754710818,0.003029339654564219,0.003571249447501811,0.8482576473853785
0.9453577139678786,0.08620895895532052,0.04044068904932183,0.0,0.0,63.46803872596176,18.92744479495268,260.8695652173913,0.03812463258010375,0.07653170741030337,0.01583847204225601,0.3726211549735006,0.20538744617370425,0.042505563172821954,4.832013290557432
0.8867939905449695,0.22167585367783674,0.17850634051169498,0.0,0.0,67.65945714531473,18.633540372670808,285.7142857142857,9.608296773540101e-06,3.518461652236737e-05,5.2487398223550544e-05,0.016568643901060012,0.0021235664628000343,0.003167875327454684,0.6703440771156457
0.8167258219470539,0.12942098596025586,0.094985324360271,0.0,0.0,73.46406638272009,23.346303501945528,136.36363636363637,0.010762818225314354,0.015625951419757964,0.004948291983574656,0.34493608647338414,0.04530100512102751,0.014345532919347002,3.15784748992717
0.7297085915664114,0.07114944435537622,0.07435914550295748,0.0,0.0,82.22460403159354,51.282051282051285,285.7142857142857,0.040792537214743664,0.07780302829413788,0.03369386747669434,0.548310135710273,0.141896024215115,0.06145038233343579,2.3091154005384906
0.9444938349668037,0.07878737264596775,0.08865777507520795,0.0,0.0,63.526089614029964,30.150753768844222,260.8695652173913,1.610833454294597e-06,9.032281318129776e-06,7.160385767213714e-05,0.0341881789342042,0.00026419311000777705,0.0020944039695691345,0.12614238410850961
0.9596608596094934,0.08889809350201068,0.05908061127428471,0.0,0.0,62.522087255299006,38.70967741935484,285.7142857142857,0.009969196602422006,0.025878885871870295,0.010824243189032606,0.1363551648573692,0.18979028699749095,0.0793827149881343,2.390826353392672
0.8456309480785446,0.07508949036715724,0.08356941931756041,0.0,0.0,70.95293772813413,51.724137931034484,285.7142857142857,4.928724932794948e-06,4.7239715220038874e-05,0.00011240205195881862,0.08415037270247712,0.000561372620262302,0.0013357285101544163,0.4202744914064946
0.8983349551302844,1.4532467056530742,2.042681964159768,8.0,0.021623959346956427,66.79023192557199,0.3342245989304813,285.7142857142857,6.4742156793659746e-06,2.3848761795281045e-05,5.257535497823599e-05,0.010126879785107781,0.002354996040374861,0.005191663779355946,0.4536110465664652
0.7453168120240279,0.08683011986544656,0.0782092499276281,0.0,0.0,80.50267890383465,46.875,272.72727272727275,0.04415842255318168,0.059920140735187796,0.021553193015084196,0.44174015879178297,0.13564567210524217,0.04879156351560835,2.7801050495512265
1.0797333517070313,0.16877445121725201,0.11568913706532873,0.0,0.0,55.56927541891848,25.641025641025642,285.7142857142857,3.414383986646274e-06,1.692308387049761e-05,5.9768568376057185e-05,0.05606878711973147,0.00030182717943156857,0.0010659864685216938,0.2831435373191382
0.9000164929021618,0.158367227650733,0.1797118878063285,0.0,0.0,66.66544499259795,3.0135610246107483,285.7142857142857,0.11289555964070024,0.11806149399309238,0.019250125941253006,0.50814098457717,0.23234003470775477,0.03788343496297835,6.13302449830142
0.8264730124205828,0.11496029805585678,0.09324787470609029,0.0,0.0,72.59765182685321,15.789473684210527,285.7142857142857,0.17105749654912084,0.20341621971072696,0.04130865253169301,0.7744738351339974,0.26265086111725444,0.05333769929689865,4.924300533760114
0.9280792117217993,14.988701841494057,16.567334462153397,14.0,0.044788534135261376,64.64965408360594,0.02582577929289016,285.7142857142857,1.1143644115321871,0.2496276503747397,0.07592035288493906,1.60155243467172,0.1558660490725097,0.04740422557598054,3.288020153871813
0.9750687687588641,0.07685248220549812,0.0863140894623374,0.0,0.0,61.53412141009522,30.927835051546392,285.7142857142857,1.9152607217651644e-05,7.36517317723329e-05,0.000177299175950532,0.03344778216787618,0.0022019914923707344,0.005300775252022932,0.4154093293297786
0.7767744680851064,0.0566971623612417,0.06345287701910247,0.0,0.0,77.24249761698677,18.01801801801802,272.72727272727275,0.06108156469574138,0.11082726337747076,0.03878897440041603,0.48721987612785883,0.22746868263721426,0.07961287357299196,2.8571846791670286
0.9958469749731507,20.27908338338286,28.68262210880058,2.0,0.006508933511244182,60.250220674333704,0.01687450431143585,285.7142857142857,0.02237382399080006,0.04228083030603899,0.0203718277983203,0.15536817685594426,0.2721331431033096,0.13111969394613446,2.0754559053127837
0.817937803202378,0.11830165615852577,0.10701881049243075,0.0,0.0,73.35521083032094,47.61904761904762,285.7142857142857,2.8988423272731387e-05,0.00017581979939307386,0.0003991120370660101,0.08604101420590252,0.0020434417354998173,0.00463862543636347,0.4405274285525861
